rep_id,method,input_size,time
0,original-py,9,0.022
0,optimized-py,9,0.017
1,original-py,9,0.017
1,optimized-py,9,0.017
2,original-py,9,0.016
2,optimized-py,9,0.019
3,original-py,9,0.019
3,optimized-py,9,0.019
4,original-py,9,0.016
4,optimized-py,9,0.016
0,original-py,73,0.019
0,optimized-py,73,0.018
1,original-py,73,0.017
1,optimized-py,73,0.017
2,original-py,73,0.016
2,optimized-py,73,0.016
3,original-py,73,0.017
3,optimized-py,73,0.017
4,original-py,73,0.017
4,optimized-py,73,0.018
0,original-py,33,0.021
0,optimized-py,33,0.018000000000000002
1,original-py,33,0.016
1,optimized-py,33,0.016
2,original-py,33,0.016
2,optimized-py,33,0.016
3,original-py,33,0.017
3,optimized-py,33,0.016
4,original-py,33,0.016
4,optimized-py,33,0.016
0,original-py,90,0.017
0,optimized-py,90,0.017
1,original-py,90,0.017
1,optimized-py,90,0.017
2,original-py,90,0.016
2,optimized-py,90,0.018
3,original-py,90,0.017
3,optimized-py,90,0.017
4,original-py,90,0.016
4,optimized-py,90,0.017
0,original-py,84,0.018000000000000002
0,optimized-py,84,0.017
1,original-py,84,0.017
1,optimized-py,84,0.016
2,original-py,84,0.016
2,optimized-py,84,0.016
3,original-py,84,0.017
3,optimized-py,84,0.017
4,original-py,84,0.017
4,optimized-py,84,0.016
0,original-py,48,0.017
0,optimized-py,48,0.017
1,original-py,48,0.017
1,optimized-py,48,0.016
2,original-py,48,0.016
2,optimized-py,48,0.016
3,original-py,48,0.016
3,optimized-py,48,0.017
4,original-py,48,0.016
4,optimized-py,48,0.016
0,original-py,72,0.017
0,optimized-py,72,0.017
1,original-py,72,0.017
1,optimized-py,72,0.018
2,original-py,72,0.017
2,optimized-py,72,0.016
3,original-py,72,0.017
3,optimized-py,72,0.016
4,original-py,72,0.016
4,optimized-py,72,0.016
0,original-py,63,0.019
0,optimized-py,63,0.017
1,original-py,63,0.016
1,optimized-py,63,0.016
2,original-py,63,0.016
2,optimized-py,63,0.016
3,original-py,63,0.016
3,optimized-py,63,0.017
4,original-py,63,0.016
4,optimized-py,63,0.016
0,original-py,72,0.017
0,optimized-py,72,0.017
1,original-py,72,0.018
1,optimized-py,72,0.018
2,original-py,72,0.017
2,optimized-py,72,0.016
3,original-py,72,0.017
3,optimized-py,72,0.016
4,original-py,72,0.016
4,optimized-py,72,0.016
0,original-py,54,0.019
0,optimized-py,54,0.017
1,original-py,54,0.017
1,optimized-py,54,0.016
2,original-py,54,0.016
2,optimized-py,54,0.016
3,original-py,54,0.016
3,optimized-py,54,0.019
4,original-py,54,0.017
4,optimized-py,54,0.016
0,original-py,97,0.02
0,optimized-py,97,0.020999999999999998
1,original-py,97,0.02
1,optimized-py,97,0.019
2,original-py,97,0.018
2,optimized-py,97,0.018000000000000002
3,original-py,97,0.023
3,optimized-py,97,0.017
4,original-py,97,0.018000000000000002
4,optimized-py,97,0.017
0,original-py,62,0.017
0,optimized-py,62,0.02
1,original-py,62,0.022
1,optimized-py,62,0.020999999999999998
2,original-py,62,0.02
2,optimized-py,62,0.02
3,original-py,62,0.017
3,optimized-py,62,0.016
4,original-py,62,0.017
4,optimized-py,62,0.016
0,original-py,91,0.019
0,optimized-py,91,0.017
1,original-py,91,0.016
1,optimized-py,91,0.017
2,original-py,91,0.017
2,optimized-py,91,0.017
3,original-py,91,0.017
3,optimized-py,91,0.017
4,original-py,91,0.017
4,optimized-py,91,0.017
0,original-py,48,0.017
0,optimized-py,48,0.018
1,original-py,48,0.019
1,optimized-py,48,0.017
2,original-py,48,0.017
2,optimized-py,48,0.017
3,original-py,48,0.017
3,optimized-py,48,0.017
4,original-py,48,0.017
4,optimized-py,48,0.018000000000000002
0,original-py,70,0.017
0,optimized-py,70,0.019
1,original-py,70,0.019
1,optimized-py,70,0.017
2,original-py,70,0.017
2,optimized-py,70,0.017
3,original-py,70,0.017
3,optimized-py,70,0.017
4,original-py,70,0.017
4,optimized-py,70,0.017
0,original-py,41,0.019
0,optimized-py,41,0.018
1,original-py,41,0.017
1,optimized-py,41,0.017
2,original-py,41,0.017
2,optimized-py,41,0.017
3,original-py,41,0.017
3,optimized-py,41,0.017
4,original-py,41,0.016
4,optimized-py,41,0.017
0,original-py,61,0.017
0,optimized-py,61,0.017
1,original-py,61,0.018
1,optimized-py,61,0.017
2,original-py,61,0.016
2,optimized-py,61,0.016
3,original-py,61,0.018000000000000002
3,optimized-py,61,0.017
4,original-py,61,0.017
4,optimized-py,61,0.017
0,original-py,40,0.017
0,optimized-py,40,0.018
1,original-py,40,0.017
1,optimized-py,40,0.017
2,original-py,40,0.017
2,optimized-py,40,0.017
3,original-py,40,0.017
3,optimized-py,40,0.017
4,original-py,40,0.017
4,optimized-py,40,0.017
0,original-py,17,0.017
0,optimized-py,17,0.018000000000000002
1,original-py,17,0.017
1,optimized-py,17,0.017
2,original-py,17,0.016
2,optimized-py,17,0.017
3,original-py,17,0.017
3,optimized-py,17,0.017
4,original-py,17,0.017
4,optimized-py,17,0.017
0,original-py,66,0.018
0,optimized-py,66,0.018
1,original-py,66,0.017
1,optimized-py,66,0.017
2,original-py,66,0.017
2,optimized-py,66,0.017
3,original-py,66,0.019
3,optimized-py,66,0.018
4,original-py,66,0.017
4,optimized-py,66,0.017
0,original-py,92,0.018000000000000002
0,optimized-py,92,0.017
1,original-py,92,0.017
1,optimized-py,92,0.017
2,original-py,92,0.016
2,optimized-py,92,0.016
3,original-py,92,0.017
3,optimized-py,92,0.017
4,original-py,92,0.017
4,optimized-py,92,0.017
0,original-py,107,0.018000000000000002
0,optimized-py,107,0.017
1,original-py,107,0.017
1,optimized-py,107,0.017
2,original-py,107,0.017
2,optimized-py,107,0.017
3,original-py,107,0.017
3,optimized-py,107,0.017
4,original-py,107,0.017
4,optimized-py,107,0.02
0,original-py,57,0.022000000000000002
0,optimized-py,57,0.025
1,original-py,57,0.019
1,optimized-py,57,0.018000000000000002
2,original-py,57,0.020999999999999998
2,optimized-py,57,0.022
3,original-py,57,0.020999999999999998
3,optimized-py,57,0.018000000000000002
4,original-py,57,0.02
4,optimized-py,57,0.023
0,original-py,72,0.023
0,optimized-py,72,0.019
1,original-py,72,0.018
1,optimized-py,72,0.017
2,original-py,72,0.018000000000000002
2,optimized-py,72,0.019
3,original-py,72,0.022
3,optimized-py,72,0.019
4,original-py,72,0.02
4,optimized-py,72,0.019
0,original-py,67,0.018
0,optimized-py,67,0.019
1,original-py,67,0.018
1,optimized-py,67,0.018000000000000002
2,original-py,67,0.019
2,optimized-py,67,0.019
3,original-py,67,0.023
3,optimized-py,67,0.019
4,original-py,67,0.020999999999999998
4,optimized-py,67,0.02
0,original-py,1,0.019
0,optimized-py,1,0.019
1,original-py,1,0.018
1,optimized-py,1,0.017
2,original-py,1,0.018
2,optimized-py,1,0.016
3,original-py,1,0.018000000000000002
3,optimized-py,1,0.017
4,original-py,1,0.016
4,optimized-py,1,0.017
0,original-py,13,0.017
0,optimized-py,13,0.018
1,original-py,13,0.017
1,optimized-py,13,0.017
2,original-py,13,0.016
2,optimized-py,13,0.016
3,original-py,13,0.017
3,optimized-py,13,0.018
4,original-py,13,0.017
4,optimized-py,13,0.017
0,original-py,13,0.017
0,optimized-py,13,0.018000000000000002
1,original-py,13,0.017
1,optimized-py,13,0.016
2,original-py,13,0.016
2,optimized-py,13,0.017
3,original-py,13,0.017
3,optimized-py,13,0.017
4,original-py,13,0.017
4,optimized-py,13,0.017
0,original-py,34,0.017
0,optimized-py,34,0.018
1,original-py,34,0.018
1,optimized-py,34,0.017
2,original-py,34,0.017
2,optimized-py,34,0.016
3,original-py,34,0.017
3,optimized-py,34,0.017
4,original-py,34,0.016
4,optimized-py,34,0.017
0,original-py,22,0.017
0,optimized-py,22,0.017
1,original-py,22,0.017
1,optimized-py,22,0.016
2,original-py,22,0.016
2,optimized-py,22,0.016
3,original-py,22,0.017
3,optimized-py,22,0.019
4,original-py,22,0.017
4,optimized-py,22,0.017
0,original-py,52,0.018
0,optimized-py,52,0.017
1,original-py,52,0.016
1,optimized-py,52,0.016
2,original-py,52,0.017
2,optimized-py,52,0.017
3,original-py,52,0.016
3,optimized-py,52,0.018
4,original-py,52,0.018
4,optimized-py,52,0.017
0,original-py,13,0.016
0,optimized-py,13,0.017
1,original-py,13,0.017
1,optimized-py,13,0.016
2,original-py,13,0.016
2,optimized-py,13,0.016
3,original-py,13,0.018
3,optimized-py,13,0.019
4,original-py,13,0.018
4,optimized-py,13,0.016
0,original-py,82,0.017
0,optimized-py,82,0.017
1,original-py,82,0.016
1,optimized-py,82,0.016
2,original-py,82,0.017
2,optimized-py,82,0.016
3,original-py,82,0.017
3,optimized-py,82,0.017
4,original-py,82,0.017
4,optimized-py,82,0.016
0,original-py,107,0.017
0,optimized-py,107,0.017
1,original-py,107,0.017
1,optimized-py,107,0.016
2,original-py,107,0.016
2,optimized-py,107,0.016
3,original-py,107,0.017
3,optimized-py,107,0.018
4,original-py,107,0.017
4,optimized-py,107,0.017
0,original-py,15,0.018000000000000002
0,optimized-py,15,0.017
1,original-py,15,0.016
1,optimized-py,15,0.016
2,original-py,15,0.016
2,optimized-py,15,0.016
3,original-py,15,0.016
3,optimized-py,15,0.018
4,original-py,15,0.017
4,optimized-py,15,0.016
0,original-py,35,0.018
0,optimized-py,35,0.017
1,original-py,35,0.016
1,optimized-py,35,0.016
2,original-py,35,0.016
2,optimized-py,35,0.016
3,original-py,35,0.017
3,optimized-py,35,0.018
4,original-py,35,0.016
4,optimized-py,35,0.016
0,original-py,26,0.017
0,optimized-py,26,0.017
1,original-py,26,0.017
1,optimized-py,26,0.016
2,original-py,26,0.016
2,optimized-py,26,0.016
3,original-py,26,0.017
3,optimized-py,26,0.017
4,original-py,26,0.017
4,optimized-py,26,0.016
0,original-py,85,0.017
0,optimized-py,85,0.017
1,original-py,85,0.017
1,optimized-py,85,0.017
2,original-py,85,0.017
2,optimized-py,85,0.017
3,original-py,85,0.017
3,optimized-py,85,0.018
4,original-py,85,0.016
4,optimized-py,85,0.017
0,original-py,97,0.018
0,optimized-py,97,0.018000000000000002
1,original-py,97,0.017
1,optimized-py,97,0.017
2,original-py,97,0.017
2,optimized-py,97,0.016
3,original-py,97,0.018000000000000002
3,optimized-py,97,0.020999999999999998
4,original-py,97,0.018
4,optimized-py,97,0.016
0,original-py,92,0.017
0,optimized-py,92,0.017
1,original-py,92,0.017
1,optimized-py,92,0.016
2,original-py,92,0.017
2,optimized-py,92,0.017
3,original-py,92,0.017
3,optimized-py,92,0.018
4,original-py,92,0.017
4,optimized-py,92,0.017
0,original-py,18,0.018
0,optimized-py,18,0.016
1,original-py,18,0.017
1,optimized-py,18,0.016
2,original-py,18,0.016
2,optimized-py,18,0.016
3,original-py,18,0.016
3,optimized-py,18,0.018
4,original-py,18,0.016
4,optimized-py,18,0.016
0,original-py,63,0.018
0,optimized-py,63,0.019
1,original-py,63,0.018
1,optimized-py,63,0.016
2,original-py,63,0.016
2,optimized-py,63,0.016
3,original-py,63,0.017
3,optimized-py,63,0.018
4,original-py,63,0.016
4,optimized-py,63,0.016
0,original-py,26,0.018
0,optimized-py,26,0.017
1,original-py,26,0.016
1,optimized-py,26,0.016
2,original-py,26,0.016
2,optimized-py,26,0.016
3,original-py,26,0.017
3,optimized-py,26,0.018
4,original-py,26,0.017
4,optimized-py,26,0.016
0,original-py,16,0.017
0,optimized-py,16,0.017
1,original-py,16,0.017
1,optimized-py,16,0.016
2,original-py,16,0.016
2,optimized-py,16,0.016
3,original-py,16,0.016
3,optimized-py,16,0.019
4,original-py,16,0.016
4,optimized-py,16,0.017
0,original-py,59,0.017
0,optimized-py,59,0.017
1,original-py,59,0.016
1,optimized-py,59,0.016
2,original-py,59,0.017
2,optimized-py,59,0.016
3,original-py,59,0.016
3,optimized-py,59,0.018
4,original-py,59,0.017
4,optimized-py,59,0.016
0,original-py,88,0.017
0,optimized-py,88,0.017
1,original-py,88,0.017
1,optimized-py,88,0.016
2,original-py,88,0.017
2,optimized-py,88,0.016
3,original-py,88,0.016
3,optimized-py,88,0.018
4,original-py,88,0.017
4,optimized-py,88,0.017
0,original-py,32,0.018000000000000002
0,optimized-py,32,0.017
1,original-py,32,0.017
1,optimized-py,32,0.017
2,original-py,32,0.016
2,optimized-py,32,0.017
3,original-py,32,0.016
3,optimized-py,32,0.018
4,original-py,32,0.016
4,optimized-py,32,0.016
0,original-py,19,0.018
0,optimized-py,19,0.017
1,original-py,19,0.016
1,optimized-py,19,0.016
2,original-py,19,0.017
2,optimized-py,19,0.016
3,original-py,19,0.017
3,optimized-py,19,0.017
4,original-py,19,0.018
4,optimized-py,19,0.019
0,original-py,73,0.017
0,optimized-py,73,0.017
1,original-py,73,0.016
1,optimized-py,73,0.017
2,original-py,73,0.017
2,optimized-py,73,0.016
3,original-py,73,0.017
3,optimized-py,73,0.018
4,original-py,73,0.017
4,optimized-py,73,0.017
0,original-py,22,0.017
0,optimized-py,22,0.017
1,original-py,22,0.016
1,optimized-py,22,0.016
2,original-py,22,0.017
2,optimized-py,22,0.016
3,original-py,22,0.016
3,optimized-py,22,0.018
4,original-py,22,0.016
4,optimized-py,22,0.016
0,original-py,22,0.017
0,optimized-py,22,0.017
1,original-py,22,0.016
1,optimized-py,22,0.017
2,original-py,22,0.016
2,optimized-py,22,0.016
3,original-py,22,0.016
3,optimized-py,22,0.017
4,original-py,22,0.017
4,optimized-py,22,0.017
0,original-py,13,0.016
0,optimized-py,13,0.018
1,original-py,13,0.017
1,optimized-py,13,0.016
2,original-py,13,0.016
2,optimized-py,13,0.016
3,original-py,13,0.016
3,optimized-py,13,0.019
4,original-py,13,0.017
4,optimized-py,13,0.017
0,original-py,29,0.017
0,optimized-py,29,0.017
1,original-py,29,0.017
1,optimized-py,29,0.016
2,original-py,29,0.017
2,optimized-py,29,0.016
3,original-py,29,0.017
3,optimized-py,29,0.018
4,original-py,29,0.016
4,optimized-py,29,0.017
0,original-py,77,0.017
0,optimized-py,77,0.017
1,original-py,77,0.016
1,optimized-py,77,0.016
2,original-py,77,0.016
2,optimized-py,77,0.016
3,original-py,77,0.017
3,optimized-py,77,0.018
4,original-py,77,0.017
4,optimized-py,77,0.017
0,original-py,92,0.017
0,optimized-py,92,0.017
1,original-py,92,0.017
1,optimized-py,92,0.017
2,original-py,92,0.017
2,optimized-py,92,0.016
3,original-py,92,0.016
3,optimized-py,92,0.018
4,original-py,92,0.017
4,optimized-py,92,0.016
0,original-py,26,0.017
0,optimized-py,26,0.017
1,original-py,26,0.017
1,optimized-py,26,0.016
2,original-py,26,0.016
2,optimized-py,26,0.016
3,original-py,26,0.016
3,optimized-py,26,0.019
4,original-py,26,0.019
4,optimized-py,26,0.016
0,original-py,67,0.02
0,optimized-py,67,0.019
1,original-py,67,0.017
1,optimized-py,67,0.017
2,original-py,67,0.016
2,optimized-py,67,0.017
3,original-py,67,0.017
3,optimized-py,67,0.017
4,original-py,67,0.017
4,optimized-py,67,0.017
0,original-py,100,0.017
0,optimized-py,100,0.017
1,original-py,100,0.017
1,optimized-py,100,0.016
2,original-py,100,0.016
2,optimized-py,100,0.017
3,original-py,100,0.017
3,optimized-py,100,0.017
4,original-py,100,0.017
4,optimized-py,100,0.017
0,original-py,20,0.017
0,optimized-py,20,0.017
1,original-py,20,0.016
1,optimized-py,20,0.016
2,original-py,20,0.016
2,optimized-py,20,0.016
3,original-py,20,0.016
3,optimized-py,20,0.018
4,original-py,20,0.017
4,optimized-py,20,0.016
0,original-py,104,0.017
0,optimized-py,104,0.017
1,original-py,104,0.017
1,optimized-py,104,0.017
2,original-py,104,0.017
2,optimized-py,104,0.017
3,original-py,104,0.017
3,optimized-py,104,0.017
4,original-py,104,0.017
4,optimized-py,104,0.017
0,original-py,15,0.017
0,optimized-py,15,0.017
1,original-py,15,0.017
1,optimized-py,15,0.016
2,original-py,15,0.016
2,optimized-py,15,0.016
3,original-py,15,0.017
3,optimized-py,15,0.018
4,original-py,15,0.018
4,optimized-py,15,0.017
0,original-py,29,0.019
0,optimized-py,29,0.017
1,original-py,29,0.016
1,optimized-py,29,0.016
2,original-py,29,0.016
2,optimized-py,29,0.016
3,original-py,29,0.017
3,optimized-py,29,0.018
4,original-py,29,0.016
4,optimized-py,29,0.017
0,original-py,103,0.018
0,optimized-py,103,0.017
1,original-py,103,0.016
1,optimized-py,103,0.016
2,original-py,103,0.017
2,optimized-py,103,0.016
3,original-py,103,0.017
3,optimized-py,103,0.019
4,original-py,103,0.017
4,optimized-py,103,0.017
0,original-py,67,0.017
0,optimized-py,67,0.017
1,original-py,67,0.017
1,optimized-py,67,0.016
2,original-py,67,0.016
2,optimized-py,67,0.016
3,original-py,67,0.017
3,optimized-py,67,0.017
4,original-py,67,0.017
4,optimized-py,67,0.017
0,original-py,73,0.017
0,optimized-py,73,0.017
1,original-py,73,0.017
1,optimized-py,73,0.017
2,original-py,73,0.016
2,optimized-py,73,0.017
3,original-py,73,0.016
3,optimized-py,73,0.018
4,original-py,73,0.016
4,optimized-py,73,0.017
0,original-py,23,0.017
0,optimized-py,23,0.017
1,original-py,23,0.017
1,optimized-py,23,0.016
2,original-py,23,0.016
2,optimized-py,23,0.016
3,original-py,23,0.017
3,optimized-py,23,0.018
4,original-py,23,0.017
4,optimized-py,23,0.017
0,original-py,6,0.017
0,optimized-py,6,0.017
1,original-py,6,0.017
1,optimized-py,6,0.016
2,original-py,6,0.016
2,optimized-py,6,0.016
3,original-py,6,0.016
3,optimized-py,6,0.018
4,original-py,6,0.016
4,optimized-py,6,0.016
0,original-py,25,0.018
0,optimized-py,25,0.017
1,original-py,25,0.016
1,optimized-py,25,0.016
2,original-py,25,0.016
2,optimized-py,25,0.016
3,original-py,25,0.017
3,optimized-py,25,0.017
4,original-py,25,0.017
4,optimized-py,25,0.017
0,original-py,66,0.017
0,optimized-py,66,0.017
1,original-py,66,0.017
1,optimized-py,66,0.016
2,original-py,66,0.017
2,optimized-py,66,0.016
3,original-py,66,0.017
3,optimized-py,66,0.018
4,original-py,66,0.017
4,optimized-py,66,0.018
0,original-py,25,0.017
0,optimized-py,25,0.019
1,original-py,25,0.019
1,optimized-py,25,0.017
2,original-py,25,0.018
2,optimized-py,25,0.017
3,original-py,25,0.018
3,optimized-py,25,0.017
4,original-py,25,0.017
4,optimized-py,25,0.017
0,original-py,26,0.017
0,optimized-py,26,0.017
1,original-py,26,0.017
1,optimized-py,26,0.018000000000000002
2,original-py,26,0.018
2,optimized-py,26,0.017
3,original-py,26,0.019
3,optimized-py,26,0.018000000000000002
4,original-py,26,0.019
4,optimized-py,26,0.019
0,original-py,23,0.019
0,optimized-py,23,0.019
1,original-py,23,0.017
1,optimized-py,23,0.017
2,original-py,23,0.017
2,optimized-py,23,0.017
3,original-py,23,0.017
3,optimized-py,23,0.019
4,original-py,23,0.017
4,optimized-py,23,0.017
0,original-py,95,0.017
0,optimized-py,95,0.020999999999999998
1,original-py,95,0.022
1,optimized-py,95,0.02
2,original-py,95,0.019
2,optimized-py,95,0.02
3,original-py,95,0.019
3,optimized-py,95,0.019
4,original-py,95,0.020999999999999998
4,optimized-py,95,0.017
0,original-py,46,0.017
0,optimized-py,46,0.019
1,original-py,46,0.017
1,optimized-py,46,0.017
2,original-py,46,0.018
2,optimized-py,46,0.016
3,original-py,46,0.019
3,optimized-py,46,0.018
4,original-py,46,0.017
4,optimized-py,46,0.017
0,original-py,35,0.017
0,optimized-py,35,0.017
1,original-py,35,0.017
1,optimized-py,35,0.016
2,original-py,35,0.016
2,optimized-py,35,0.016
3,original-py,35,0.017
3,optimized-py,35,0.017
4,original-py,35,0.017
4,optimized-py,35,0.017
0,original-py,68,0.019
0,optimized-py,68,0.019
1,original-py,68,0.019
1,optimized-py,68,0.017
2,original-py,68,0.016
2,optimized-py,68,0.017
3,original-py,68,0.017
3,optimized-py,68,0.018
4,original-py,68,0.017
4,optimized-py,68,0.017
0,original-py,73,0.017
0,optimized-py,73,0.017
1,original-py,73,0.017
1,optimized-py,73,0.017
2,original-py,73,0.017
2,optimized-py,73,0.02
3,original-py,73,0.020999999999999998
3,optimized-py,73,0.018000000000000002
4,original-py,73,0.017
4,optimized-py,73,0.017
0,original-py,87,0.017
0,optimized-py,87,0.017
1,original-py,87,0.018
1,optimized-py,87,0.017
2,original-py,87,0.017
2,optimized-py,87,0.017
3,original-py,87,0.017
3,optimized-py,87,0.017
4,original-py,87,0.017
4,optimized-py,87,0.017
0,original-py,4,0.017
0,optimized-py,4,0.017
1,original-py,4,0.017
1,optimized-py,4,0.017
2,original-py,4,0.017
2,optimized-py,4,0.017
3,original-py,4,0.017
3,optimized-py,4,0.017
4,original-py,4,0.016
4,optimized-py,4,0.017
0,original-py,77,0.02
0,optimized-py,77,0.019
1,original-py,77,0.017
1,optimized-py,77,0.017
2,original-py,77,0.018
2,optimized-py,77,0.017
3,original-py,77,0.017
3,optimized-py,77,0.018
4,original-py,77,0.017
4,optimized-py,77,0.017
0,original-py,93,0.018
0,optimized-py,93,0.020999999999999998
1,original-py,93,0.022
1,optimized-py,93,0.02
2,original-py,93,0.02
2,optimized-py,93,0.026
3,original-py,93,0.024
3,optimized-py,93,0.019
4,original-py,93,0.022
4,optimized-py,93,0.02
0,original-py,15,0.022
0,optimized-py,15,0.019
1,original-py,15,0.020999999999999998
1,optimized-py,15,0.019
2,original-py,15,0.019
2,optimized-py,15,0.022
3,original-py,15,0.019
3,optimized-py,15,0.017
4,original-py,15,0.017
4,optimized-py,15,0.017
0,original-py,53,0.017
0,optimized-py,53,0.017
1,original-py,53,0.017
1,optimized-py,53,0.016
2,original-py,53,0.017
2,optimized-py,53,0.017
3,original-py,53,0.017
3,optimized-py,53,0.018
4,original-py,53,0.02
4,optimized-py,53,0.018
0,original-py,80,0.018
0,optimized-py,80,0.019
1,original-py,80,0.018000000000000002
1,optimized-py,80,0.018
2,original-py,80,0.017
2,optimized-py,80,0.017
3,original-py,80,0.017
3,optimized-py,80,0.017
4,original-py,80,0.017
4,optimized-py,80,0.017
0,original-py,97,0.017
0,optimized-py,97,0.017
1,original-py,97,0.017
1,optimized-py,97,0.017
2,original-py,97,0.017
2,optimized-py,97,0.017
3,original-py,97,0.017
3,optimized-py,97,0.018
4,original-py,97,0.017
4,optimized-py,97,0.017
0,original-py,100,0.019
0,optimized-py,100,0.017
1,original-py,100,0.017
1,optimized-py,100,0.016
2,original-py,100,0.017
2,optimized-py,100,0.017
3,original-py,100,0.017
3,optimized-py,100,0.017
4,original-py,100,0.017
4,optimized-py,100,0.017
0,original-py,105,0.017
0,optimized-py,105,0.017
1,original-py,105,0.017
1,optimized-py,105,0.017
2,original-py,105,0.017
2,optimized-py,105,0.017
3,original-py,105,0.017
3,optimized-py,105,0.019
4,original-py,105,0.017
4,optimized-py,105,0.017
0,original-py,75,0.017
0,optimized-py,75,0.018
1,original-py,75,0.017
1,optimized-py,75,0.016
2,original-py,75,0.016
2,optimized-py,75,0.016
3,original-py,75,0.017
3,optimized-py,75,0.019
4,original-py,75,0.017
4,optimized-py,75,0.016
0,original-py,5,0.017
0,optimized-py,5,0.017
1,original-py,5,0.016
1,optimized-py,5,0.016
2,original-py,5,0.016
2,optimized-py,5,0.016
3,original-py,5,0.016
3,optimized-py,5,0.018
4,original-py,5,0.017
4,optimized-py,5,0.016
0,original-py,58,0.017
0,optimized-py,58,0.017
1,original-py,58,0.016
1,optimized-py,58,0.016
2,original-py,58,0.017
2,optimized-py,58,0.017
3,original-py,58,0.018
3,optimized-py,58,0.018
4,original-py,58,0.016
4,optimized-py,58,0.016
0,original-py,102,0.017
0,optimized-py,102,0.017
1,original-py,102,0.017
1,optimized-py,102,0.016
2,original-py,102,0.017
2,optimized-py,102,0.016
3,original-py,102,0.017
3,optimized-py,102,0.019
4,original-py,102,0.017
4,optimized-py,102,0.017
0,original-py,4,0.017
0,optimized-py,4,0.017
1,original-py,4,0.016
1,optimized-py,4,0.016
2,original-py,4,0.016
2,optimized-py,4,0.016
3,original-py,4,0.017
3,optimized-py,4,0.018
4,original-py,4,0.016
4,optimized-py,4,0.016
0,original-py,55,0.017
0,optimized-py,55,0.017
1,original-py,55,0.017
1,optimized-py,55,0.016
2,original-py,55,0.016
2,optimized-py,55,0.016
3,original-py,55,0.017
3,optimized-py,55,0.017
4,original-py,55,0.017
4,optimized-py,55,0.017
0,original-py,35,0.017
0,optimized-py,35,0.017
1,original-py,35,0.018
1,optimized-py,35,0.019
2,original-py,35,0.017
2,optimized-py,35,0.017
3,original-py,35,0.018
3,optimized-py,35,0.018
4,original-py,35,0.016
4,optimized-py,35,0.016
0,original-py,44,0.017
0,optimized-py,44,0.017
1,original-py,44,0.016
1,optimized-py,44,0.016
2,original-py,44,0.017
2,optimized-py,44,0.016
3,original-py,44,0.017
3,optimized-py,44,0.017
4,original-py,44,0.017
4,optimized-py,44,0.016
0,original-py,42,0.018
0,optimized-py,42,0.017
1,original-py,42,0.016
1,optimized-py,42,0.016
2,original-py,42,0.016
2,optimized-py,42,0.016
3,original-py,42,0.017
3,optimized-py,42,0.019
4,original-py,42,0.017
4,optimized-py,42,0.016
0,original-py,70,0.017
0,optimized-py,70,0.017
1,original-py,70,0.016
1,optimized-py,70,0.016
2,original-py,70,0.016
2,optimized-py,70,0.016
3,original-py,70,0.016
3,optimized-py,70,0.018
4,original-py,70,0.017
4,optimized-py,70,0.017
0,original-py,34,0.017
0,optimized-py,34,0.017
1,original-py,34,0.017
1,optimized-py,34,0.016
2,original-py,34,0.017
2,optimized-py,34,0.016
3,original-py,34,0.016
3,optimized-py,34,0.017
4,original-py,34,0.017
4,optimized-py,34,0.017
0,original-py,107,0.017
0,optimized-py,107,0.017
1,original-py,107,0.017
1,optimized-py,107,0.016
2,original-py,107,0.017
2,optimized-py,107,0.016
3,original-py,107,0.017
3,optimized-py,107,0.020999999999999998
4,original-py,107,0.024
4,optimized-py,107,0.016
0,original-py,78,0.018
0,optimized-py,78,0.017
1,original-py,78,0.016
1,optimized-py,78,0.018
2,original-py,78,0.017
2,optimized-py,78,0.017
3,original-py,78,0.017
3,optimized-py,78,0.017
4,original-py,78,0.017
4,optimized-py,78,0.017
